episode_title,id,category,title,series,episode_name,description,description2,tags,image,directors_actors,tags2,publication_date,rating,duration_sec,season,episode
Dead Europe,44,Movies,Dead Europe,,Dead Europe,"In Greece to scatter his father's ashes, Isaac hears of a curse that hangs over the head of his family. Dismissing the idea, his trip begins to unveil dark truths that forced his father to flee years ago. (2012)","In Greece to scatter his father's ashes, Isaac hears of a curse that hangs over the head of his family. Dismissing the idea, his trip begins to unveil dark truths that forced his father to flee years ago.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2776A001S00_6090e576d9701.jpg,"[""['Director Tony Krawitz']""]","['abc1', 'abc2', 'drama', 'film', 'feature-length', 'uk', 'greece', 'europe', 'adaptation', 'cerebral', 'challenging', 'emotional', 'somber', 'slow-burn', 'revealing', 'family-relationships', 'critically-acclaimed', 'movie', 'a:young-sink-dink', 'a:older-sink-dink', 'ns:understand', 'australia']",2021-06-01 07:00:00,MA,4782.0,,
Bob & Carol & Ted & Alice,61,Movies,Bob & Carol & Ted & Alice,,Bob & Carol & Ted & Alice,"A married couple swept up with the idea of free love, convince their friends, another married couple, to join them. As their dalliance grows, unspoken tensions begin to surface between them. (1969)","A married couple swept up with the idea of free love, convince their friends, another married couple, to join them. As their dalliance grows, unspoken tensions begin to surface between them.","['ABC TV', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3012A001S00_60c174ee04685_1920.jpg,"[""['Director Larry Tucker']""]","['abc1', 'abc', '2', 'comedy-drama', 'drama', 'love', 'marriage', 'relationships', 'sex', 'forbidden-love', 'lighthearted', 'charming', 'feel-good', '1960s', 'a:established-parents', 'a:retirees', 'a:older-sink-dink', 'ns:be-entertained', 'usa', 'film', 'feature-length']",2021-06-25 07:00:00,M,6065.0,,
Pollock,82,Movies,Pollock,,Pollock,"The story of an extraordinary artist, Pollock, struggling with self doubt whilst caught up in a tug of war between the need to express himself and wanting to shut the world out. (2000)","The story of an extraordinary artist, Pollock, struggling with self doubt whilst caught up in a tug of war between the need to express himself and wanting to shut the world out.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3019A001S00_60c162e30b42e_1920.jpg,"[""['Director Ed Harris']""]","['abc1', 'abc2', 'drama', 'biopic', 'biography', 'artist', 'film', 'feature-length', 'emotional', 'revealing', 'intense', 'somber', 'critically-acclaimed', 'a:older-sink-dink', 'a:young-sink-dink', 'ns:be-entertained', 'ns:be-inspired', 'usa']",2021-06-25 07:00:00,MA,7100.0,,
Pecking Order,116,Movies,Pecking Order,,Pecking Order,"Fierce rivalries, club infighting, problematic birds and irregular judging are just some of the challenges faced by a group of zealous Kiwi chicken breeders hell bent on victory at the 2015 National Poultry Show. (2017)","Fierce rivalries, club infighting, problematic birds and irregular judging are just some of the challenges faced by a group of zealous Kiwi chicken breeders hell bent on victory at the 2015 National Poultry Show.","['ABC TV', 'ABC TV Plus', 'DOCUMENTARY', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2789A001S00_6090e577b37bb.jpg,"[""['Director Slavko Martinov']""]","['abc1', 'abc2', 'docs', 'feature-length', 'film', 'funny', 'quirky', 'irreverent', 'witty', 'animals', 'behind-the-scenes', 'a:retireees', 'a:older-sink-dink', 'ns:be-entertained', 'ns:understand', 'new-zealand']",2021-06-01 07:00:00,PG,5035.0,,
Catching A Predator,237,Documentary,Catching A Predator,,Catching A Predator,The inside story of the investigation into serial male rapist Reynhard Sinaga and the biggest rape case in British legal history. Sexual violence against men remains one of the most underreported crimes.,The inside story of the investigation into serial male rapist Reynhard Sinaga and the biggest rape case in British legal history. Sexual violence against men remains one of the most underreported crimes.,"['ABC TV', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3215A001S00_61a59e1cd27e0_1920.jpg,['[]'],"['abc1', 'uk', 'docs', 'true-crime', 'factual', 'crime', 'historical-events', 'mystery', 'suspense', 'shocking', 'dark', 'hard-hitting', 'investigation', 'a:established-parents', 'a:older-sink-dink', 'a:young-sink-dink', 'ns:understand', 'ns:be-informed']",2021-12-13 21:36:03,M,3535.0,,
Crowded House Live At Sydney Opera House,304,Comedy,Crowded House Live At Sydney Opera House,,Crowded House Live At Sydney Opera House,An unforgettable event from the steps of Sydney Opera House. In 2016 Crowded House returned to play a cavalcade of their hits and favourites 20 years after their landmark last concert.,An unforgettable event from the steps of Sydney Opera House. In 2016 Crowded House returned to play a cavalcade of their hits and favourites 20 years after their landmark last concert.,"['ABC TV', 'ARTS & CULTURE']",https://cdn.iview.abc.net.au/thumbs/i/fa/FA1601H001S00_607632d6892e7_1280.jpg,"[""['Cast Neil Finn'"", ""'Nick Seymour'"", ""'Mitchell Froom'"", ""'Liam Finn'"", ""'Elroy Finn']""]","['abc1', 'arts', 'australia', 'music', 'performance', 'pop-culture', 'rock-music', 'live-music', 'concert', 'entertainment', 'cult-favourite', 'nostalgia', 'feel-good', 'inspirational']",2021-06-30 07:00:00,PG,8822.0,,
