episode_title,id,category,title,series,episode_name,description,description2,tags,image,directors_actors,tags2,publication_date,rating,duration_sec,season,episode
On A Clear Day,5,Movies,On A Clear Day,,On A Clear Day,"Frank determines to salvage his self-esteem and tackle his demons by attempting the ultimate test of endurance, swimming the English Channel. (2004)","Frank determines to salvage his self-esteem and tackle his demons by attempting the ultimate test of endurance, swimming the English Channel.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2910A001S00_609c85a181602_1280.jpg,"[""['Director Gaby Dellal']""]","['abc1', 'abc2', 'uk', 'drama', '2000s', 'family', 'countryside', 'coast', 'love', 'emotional', 'endearing', 'feel-good', 'inspirational', 'friendship', 'mental-health', 'wellbeing', 'family-relationship', 'feature-length', 'film', 'movie', 'a:established-parents', 'a:older-sink-dink', 'a:retirees', 'a:working-parents', 'a:young-adults', 'ns:be-inspired', 'ns:be-uplifted', 'ns:be-entertained', 'swimming', 'health']",2021-06-01 07:00:00,PG,5649.0,,
The Dinner,19,Movies,The Dinner,,The Dinner,How far would you go to protect your children? A riveting look at the savage reality hidden beneath the surface of four middle class lives. (2017),How far would you go to protect your children? A riveting look at the savage reality hidden beneath the surface of four middle class lives.,"['ABC TV', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2889A001S00_609cddc0e7e5c_1280.jpg,"[""['Director Oren Moverman']""]","['abc1', 'drama', 'film', 'suspense', 'family-relationships', 'marriage', 'crime', 'politics', 'movie', 'ns:be-entertained', 'a:established-parents', 'a:older-sink-dink', 'feature-length']",2021-06-01 07:00:00,M,6872.0,,
The Last Station,49,Movies,The Last Station,,The Last Station,A historical drama that illustrates Russian author Leo Tolstoy's struggle to balance fame and wealth with his commitment to a life devoid of material things. (2009),A historical drama that illustrates Russian author Leo Tolstoy's struggle to balance fame and wealth with his commitment to a life devoid of material things.,"['ABC TV', 'ABC TV Plus', 'MOVIES', 'DRAMA']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2788A001S00_60bd75c17ed93_1920.jpg,"[""['Director Michael Hoffman']""]","['abc1', 'abc2', 'film', 'drama', 'romance', 'adaptation', 'biopic', 'period-drama', '1920s', 'history', 'literature', 'relationhships', 'all-star-cast', 'a:established-parents', 'a:reitrees', 'a:older-sink-dink', 'ns:be-entertained', 'ns:understand', 'uk', 'germany', 'russia']",2021-06-01 07:00:00,M,6472.0,,
Devil's Knot,50,Movies,Devil's Knot,,Devil's Knot,The Arkansas town of West Memphis makes national headlines when three teenagers are arrested for the brutal murders of three little boys. Based on true events and the novel by Mara Leveritt. (2013),The Arkansas town of West Memphis makes national headlines when three teenagers are arrested for the brutal murders of three little boys. Based on true events and the novel by Mara Leveritt.,"['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2844A001S00_609bb5ddc89aa_1920.jpg,"[""['Director Atom Egoyan']""]","['abc1', 'abc2', 'drama', 'crime', 'biography', 'true-crime', 'true-story', 'murder', 'film', 'gritty', 'hard-hitting', 'emotional', 'dark', 'disturbing', 'relationships', 'somber', 'movie', 'a:established-parents', 'a:older-sink-dink', 'ns:be-entertained', 'ns:understand', 'usa']",2021-06-01 07:00:00,M,6540.0,,
The Queen's Green Planet,158,Family,The Queen's Green Planet,,The Queen's Green Planet,"Her Majesty Queen Elizabeth talks to Sir David Attenborough about her ambitious legacy project the Queen's Commonwealth Canopy, aiming to create a global network of protected forests in all 53 Commonwealth countries.","Her Majesty Queen Elizabeth talks to Sir David Attenborough about her ambitious legacy project the Queen's Commonwealth Canopy, aiming to create a global network of protected forests in all 53 Commonwealth countries.","['ABC TV', 'DOCUMENTARY', 'SCIENCE', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1520A001S00_5fed52800938c_1920.jpg,"[""['Host Sir David Attenborough']""]","['abc1', 'uk', 'docs', 'nature', 'feature-length', 'science', 'family-viewing']",2021-06-30 07:00:00,G,2821.0,,
Play School: Acknowledgement of Country,193,Kids,Play School: Acknowledgement of Country,,Play School: Acknowledgement of Country,"Join Luke, Miranda and Hunter to give an Acknowledgement of Country in this special episode of Play School celebrating Australia's First People.","Join Luke, Miranda and Hunter to give an Acknowledgement of Country in this special episode of Play School celebrating Australia's First People.",['ABC Kids'],https://cdn.iview.abc.net.au/thumbs/i/ck/CK1911H001S00_5d1176870e7cf.jpg,['[]'],['abc4kids'],2021-07-08 06:00:00,G,1638.0,,
