episode_title,id,category,title,series,episode_name,description,description2,tags,image,directors_actors,tags2,publication_date,rating,duration_sec,season,episode
Here Comes The Grump,177,Family,Here Comes The Grump,,Here Comes The Grump,"An evil wizard presides over the entire world and has banished all happiness, smiling and laughter. Terry, a normal boy, teams up with a princess to put a stop to the wizard's reign and return happiness to the world. (2018)","An evil wizard presides over the entire world and has banished all happiness, smiling and laughter. Terry, a normal boy, teams up with a princess to put a stop to the wizard's reign and return happiness to the world.","['ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2755A001S00_60d2d41543dbe_1280.jpg,['[]'],"['abc3', '3featured', 'family-viewing-abcme', 'family-viewing']",2022-03-18 20:31:49,PG,5111.0,,
Capturing Cricket: Steve Waugh In India,232,Documentary,Capturing Cricket: Steve Waugh In India,,Capturing Cricket: Steve Waugh In India,"Steve Waugh, the mastermind behind Australia's golden age of cricket dominance, takes us on a trip through India, exploring the rich diversity of cultures and searching for the true spirit of cricket.","Steve Waugh, the mastermind behind Australia's golden age of cricket dominance, takes us on a trip through India, exploring the rich diversity of cultures and searching for the true spirit of cricket.","['ABC TV', 'DOCUMENTARY', 'SPORT']",https://cdn.iview.abc.net.au/thumbs/i/rf/RF1928H001S00_5f976d164ccc3.jpg,"[""['Host Steve Waugh']""]","['abc1', 'australia', 'docs', 'factual', 'sport', 'diversity', 'biography', 'cricket', 'real-life', 'compelling', 'revealing', 'uplifting', 'inspirational', 'informative', 'feature-length', 'a:established-parents', 'a:older-sink-dink', 'a:']",2020-11-17 21:30:47,PG,3407.0,,
Christmas In Australia With Christine Anu,269,Documentary,Christmas In Australia With Christine Anu,,Christmas In Australia With Christine Anu,"Celebrate Christmas with Christine Anu as she explores how Australia's melting pot of traditions, cultures and faiths not only sparks festive joy, but rejoices in the kindness and resilience of Australians.","Celebrate Christmas with Christine Anu as she explores how Australia's melting pot of traditions, cultures and faiths not only sparks festive joy, but rejoices in the kindness and resilience of Australians.","['ABC TV', 'LIFESTYLE', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/rn/RN2011H026S00_61c271853d648_1920.jpg,"[""['Host Christine Anu']""]","['abc1', 'lifestyle', 'docs', 'family', 'australia', 'religion', 'christmas', 'feel-good']",2021-12-21 20:33:38,G,3139.0,,
Shed,296,Comedy,Shed,,Shed,"An enslaved girl, Mary, endures daily torture in a world with no prospects until a new station hand, Victor, walks into the shed and her life.","An enslaved girl, Mary, endures daily torture in a world with no prospects until a new station hand, Victor, walks into the shed and her life.","['ABC TV', 'ARTS & CULTURE', 'DRAMA', 'REGIONAL AUSTRALIA', 'INDIGENOUS']",https://cdn.iview.abc.net.au/thumbs/i/ip/IP1803Q001S00_5f98ea5ca4917_1280.jpg,"[""['Director Chantelle Murray']""]","['abc1', 'arts', 'australia', 'drama', 'regional', 'indigenous', 'revealing', 'people', 'culture', 'short']",2020-11-08 07:00:00,M,898.0,,
"Desertification: Causes, Impacts and Management",333,Education,"Desertification: Causes, Impacts and Management",,"Desertification: Causes, Impacts and Management","Yahya's nomadic family has been forced off their land on the fringes of the Sahara, because of desertification. Through his story, the impacts of desertification and its causes are looked at. Stages 4-5 Geography","Yahya's nomadic family has been forced off their land on the fringes of the Sahara, because of desertification. Through his story, the impacts of desertification and its causes are looked at. Stages 4-5 Geography","['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2054A001S00_5dc37a66c6a41.jpg,['[]'],"['abc3', 'education', 'secondary-geography']",2019-11-11 06:01:00,G,1528.0,,
