episode_title,id,category,title,series,episode_name,description,description2,tags,image,directors_actors,tags2,publication_date,rating,duration_sec,season,episode
The Death And Life Of Otto Bloom,15,Movies,The Death And Life Of Otto Bloom,,The Death And Life Of Otto Bloom,"The chronicle of the life and great love of Otto Bloom, an extraordinary man who experiences time in reverse - passing backwards through the years only remembering the future. (2016)","The chronicle of the life and great love of Otto Bloom, an extraordinary man who experiences time in reverse - passing backwards through the years only remembering the future.","['ABC TV', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2782A001S00_61931e7d74dd2.jpg,"[""['Cast Xavier Samuel'"", ""'Rachel Ward'"", ""'Matilda Brown']""]","['abc1', 'drama', 'film', 'fantasy', 'love', 'romance', 'coming-of-age', 'quirky', 'lighthearted', 'endearing', 'heartfelt', 'charming', 'offbeat', 'feel-good', 'australia', 'feature-length']",2021-12-01 07:00:00,M,4777.0,,
Suburban Mayhem,103,Movies,Suburban Mayhem,,Suburban Mayhem,"When her father threatens to contact social services and take away her child, Katrina sets in motion a plan to wreak suburban mayhem that will leave a community in shock and Katrina infamous in a way she never dreamed of. (2006)","When her father threatens to contact social services and take away her child, Katrina sets in motion a plan to wreak suburban mayhem that will leave a community in shock and Katrina infamous in a way she never dreamed of.","['ABC TV', 'ABC TV Plus', 'MOVIES', 'DRAMA', 'COMEDY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2384A001S00_5ee1d43849c53_1280.jpg,"[""['Director Paul Goldman']""]","['abc1', 'abc2', 'film', 'drama', 'comedy', 'crime-drama', 'thriller', 'indie', 'gritty', 'murder', 'hijinks', 'cult-favourite', 'movie', 'a:young-adults', 'a:young-sink-dink', 'ns:be-entertained', 'australia']",2021-06-01 07:00:00,MA,5126.0,,
Buried,110,Movies,Buried,,Buried,"Paul Conroy is not ready to die but when he wakes up six feet underground, poor reception, a rapidly draining battery and a dwindling oxygen supply are his worst enemies in a tightly confined race against time. (2010)","Paul Conroy is not ready to die but when he wakes up six feet underground, poor reception, a rapidly draining battery and a dwindling oxygen supply are his worst enemies in a tightly confined race against time.","['ABC TV', 'ABC TV Plus', 'DRAMA', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2885A001S00_609b8e1d201c1_1920.jpg,"[""['Director Rodrigo Cortes']""]","['abc1', 'abc2', 'drama', 'mystery', 'thriller', 'film', 'edge-of-your-seat', 'psychological', 'disturbing', 'hard-hitting', 'intense', 'shocking', 'critically-acclaimed', 'movie', 'a:young-adults', 'a:established-parents', 'ns:be-entertained', 'ns:relieve-boredom', 'usa']",2021-06-01 07:00:00,MA,5430.0,,
All That Jazz,131,Movies,All That Jazz,,All That Jazz,"The story of a gifted choreographer whose compulsions, both professionally and personally, lead to his destruction. (1979)","The story of a gifted choreographer whose compulsions, both professionally and personally, lead to his destruction.","['ABC TV', 'ABC TV Plus', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/zy/ZY9319A001S00_60c14c2129c9f_1920.jpg,"[""['Director Bob Fosse']""]","['abc1', 'abc2', 'film', 'musical', '1970s', 'music', 'a:established-parents', 'a:home-duties', 'ns:be-entertained', 'a:older-sink-dink\ta:retirees\tns:be-uplifted', 'ns:relieve-boredom', 'jazz-blues', 'dance', 'charming', 'endearing', 'quirky', 'emotional']",2021-06-25 07:00:00,M,7065.0,,
Last Man Standing: Suge Knight and the Murders of Biggie & Tupac,255,Documentary,Last Man Standing: Suge Knight and the Murders of Biggie & Tupac,,Last Man Standing: Suge Knight and the Murders of Biggie & Tupac,"This film takes a look at Death Row and L.A.'s street gang culture. It would be this world of gang rivalry and dirty cops that would claim the lives of the world's two greatest rappers, Tupac Shakur and Biggie Smalls. (2021)","This film takes a look at Death Row and L.A.'s street gang culture. It would be this world of gang rivalry and dirty cops that would claim the lives of the world's two greatest rappers, Tupac Shakur and Biggie Smalls.","['ABC TV Plus', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3064A001S00_616f979377102_1920.jpg,"[""['Director Nick Broomfield']""]","['abc2', 'uk', 'docs', 'music', 'crime', 'factual', 'interview', 'rap', 'real-life', '1990s', 'usa', 'americana', 'murder', 'violent', 'dark', 'gritty', 'informative', 'revealing', 'revenge']",2021-11-03 21:03:13,MA,6034.0,,
Pinchgut Opera: Handel in Italy,309,Comedy,Pinchgut Opera: Handel in Italy,,Pinchgut Opera: Handel in Italy,"Erin Helyard, Taryn Fiebig and the musicians of Pinchgut Opera perform Baroque masterworks by Handel, written when the composer was in Italy during this 20s. Filmed live at the Eugene Goossens Hall, ABC Ultimo.","Erin Helyard, Taryn Fiebig and the musicians of Pinchgut Opera perform Baroque masterworks by Handel, written when the composer was in Italy during this 20s. Filmed live at the Eugene Goossens Hall, ABC Ultimo.","['ABC ARTS', 'ARTS & CULTURE']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2476A001S00_5fa0d09e5f461_1677.jpg,['[]'],"['abcarts', 'arts', 'music', 'classical', 'performance']",2020-11-06 07:00:00,G,3992.0,,
