,user_id,cluster,episode_title,id,category,title,series,episode_name,description,description2,tags,image,directors_actors,tags2,publication_date,rating,duration_sec,season,episode,features,index
255,11,1.0,Fighting Spirit: Wheeling Diggers' Invictus Games Dream,251.0,Documentary,Fighting Spirit: Wheeling Diggers' Invictus Games Dream,,Fighting Spirit: Wheeling Diggers' Invictus Games Dream,This deeply moving documentary goes behind-the-scenes of the Invictus Games Sydney 2018 to follow the formation of Australia's wheelchair rugby team as they struggle to reclaim their lives on and off the court.,This deeply moving documentary goes behind-the-scenes of the Invictus Games Sydney 2018 to follow the formation of Australia's wheelchair rugby team as they struggle to reclaim their lives on and off the court.,"['ABC TV', 'SPORT', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/do/DO1719H001S00_5bbc21ea8e241.jpg,['[]'],"['abc1', 'aussie', 'sport', 'docs', 'factual', 'inspirational', 'biography', 'uplifting', 'invictus', 'inside-invictus', 'truedocs']",2018-10-16 21:28:00,M,3442.0,,,deeply moving documentary go behindthescenes invictus game sydney 2018 follow formation australia wheelchair rugby team struggle reclaim life court,
257,11,1.0,Fightback Farmers,259.0,Documentary,Fightback Farmers,,Fightback Farmers,"Facing the challenge of a lifetime, Australian farmers and fishers are banding together in a modern take on an old way of working together. Their goal is to save family farms from corporate takeover and protect a way of life.","Facing the challenge of a lifetime, Australian farmers and fishers are banding together in a modern take on an old way of working together. Their goal is to save family farms from corporate takeover and protect a way of life.","['ABC TV', 'REGIONAL AUSTRALIA', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2772A001S00_60cc2c752c013_1920.jpg,"[""['Director Kay Pavlou']""]","['abc1', 'regional', 'docs', 'factual', 'countryside', 'outback', 'farming', 'environment', 'agriculture', 'family', 'revealing', 'informative', 'a:retirees', 'a:older-sink-dink', 'ns:be-informed', 'ns:understand', 'australia']",2021-06-15 22:34:31,G,3336.0,,,facing challenge lifetime australian farmer fisher banding together modern take old way working together goal save family farm corporate takeover protect way life,
261,11,0.0,Redfern Now (),293.0,Drama,Redfern Now (2014),,Redfern Now (2014),"When a young Aboriginal woman is assaulted and doesn't report it, it has consequences she never could have imagined. (2014)","When a young Aboriginal woman is assaulted and doesn't report it, it has consequences she never could have imagined.","['ABC TV', 'DRAMA', 'INDIGENOUS']",https://cdn.iview.abc.net.au/thumbs/i/ip/IP1306H001S00_60937981cc7b2_1920.jpg,"[""['Cast Deb Mailman'"", ""'Wayne Blair'"", ""'Rarriwuy Hick'"", ""'Anthony Hayes']""]","['abc1', 'aussie', 'drama', 'a:established-parents', 'binge-worthy', 'a:home-duties', 'ns:be-entertained', 'a:older-sink-dink', 'a:retirees', 'a:working-parents\t', 'relationship-drama', 'indigenous', 'feature-length', 'aboriginal', 'revealing', 'compelling', 'emotional', 'australia', 'strong-female-lead', 'critically-acclaimed', 'relationships']",2021-06-30 07:00:00,M,5194.0,,,young aboriginal woman assaulted doesnt report consequence never could imagined 2014,
231,11,7.0,,10051.0,Panel Discussion,Australia Debates,,,"The funniest minds in Australia debate the findings of three issues uncovered by the Australia Talks national survey, asking 60,000 Australians 600 questions, and come to their own conclusions.","['Tom Cashman, Demi Lardner and Nat Damena argue the case that Pets are Better than People, against Mel Buttle, Dane Simpson and Lizzy Hoo arguing the negative. Moderated by Nikki Britton.', ""Arj Barker, Vidya Rajan and Suren Jayemanne argue the case that Younger Australians Have it Easier These Days, against Fiona O'Loughlin, Bridie Connell and Michael Hing arguing the negative. Moderated by Nikki Britton."", 'Steph Tisdell, Sam Campbell and Veronica Milsom argue the affirmative case that Social Media Should be Banned - against Nina Oyama, Danielle Walker and Blake Freeman arguing the negative. Moderated by Nikki Britton.']","['ABC TV Plus', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/fr/FR2011H003S00_60d9063606a5e_1920.jpg,"[""['Host Nikki Britton']""]","['ns:be-informed', 'public-affairs', 'current-affairs', 'interview', 'talk-show', 'abc2', 'panel', 'ns:be-entertained', 'australia', 'aussie', 'a:young-sink-dink', 'a:established-parents', 'investigation', 'a:older-sink-dink', 'revealing']",2021-06-28 21:33:30,M,"[2579.0, 2605.0, 2492.0]",,,funniest mind australia debate finding three issue uncovered australia talk national survey asking 60000 australian 600 question come conclusion,51.0
246,11,7.0,,10495.0,Documentary,The Crown and Us: The Story of The Royals in Australia,,,"The Crown is part of who we were and who we are - and despite the secrets, scandals and questions of relevance, our reverence for the British Royals remains as strong as ever. Why is that? And will it ever change?","['Explore the relationship between Australia and the Crown from 1954 through to the election of Gough Whitlam as Prime Minister in 1972.', ""Do we need a British monarch as our head of state? A look at Australia's relationship with the Crown from 1974 to now, through Royal secrets, scandals and the impact of Princess Diana. (Final)""]","['ABC TV', 'ABC TV Plus', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/do/DO1715H001S00_5c6e3cf43e5af_1280.jpg,"[""['Director Bernice Toni']""]","['real-life', 'informative', 'nostalgia', 'factual', 'compelling', 'biography', 'abc1', 'abc2', 'history', 'historical-events', 'royality', 'culture', 'uk', 'people', 'australia', 'docs', 'revealing']",2021-06-18 07:00:00,PG,"[3463.0, 3434.0]",,,crown part despite secret scandal question relevance reverence british royal remains strong ever ever change,495.0
250,11,1.0,,,,,,,,,,,,,,,,,,,
