0,1,2,3,4,5,6,7,8,9,10,11
289,106,378,32,286,79,340,,,,,
388,4,427,175,429,231,224,250.0,228.0,391.0,105.0,
257,95,31,32,225,291,217,110.0,135.0,228.0,35.0,285.0
55,494,334,295,49,48,482,215.0,,,,
37,3,302,80,321,285,461,400.0,160.0,,,
