id,title,category,description,description2,directors_actors,publication_date,rating,duration_sec,tags,tags2,image
10043,Are You Tougher Than Your Ancestors?,Family,"Disgusting chores, mind-bending challenges and incredible feats of ingenuity await as Australian kids of today take on a day in the life of their ancestors. Will they have what it takes to be tougher?","['In 1850, 12 year old Thekla Staude regularly trekked 26 kilometres from her home in Hahndorf village to sell her handmade produce at market in Adelaide. Will Maeve and Harper complete the long walk to market to make a sale?', ""In the early 1900s, teenage Afghan Aboriginal cameleer, William Satour, guided his father's camel train through some of Australia's toughest country. Can Ezekiel and Nathaniel deliver their cargo safely and on time?"", ""In 1912, 14 year old sailor Douglas Bull was awarded the rank of 'Ordinary Seaman' by his ship's Captain. Can Stella and Caitlin prove they have what it takes to match Douglas' achievement?"", '12 year old artistic roller skater Tammy Bryant trained hard to master the routines that won her the 1989 Australian National Championship. Can Charli and Matthew learn the signature moves that made Tammy a champion?', 'In 1932, 9 year old Lennie Gwyther and his pony Ginger Mick travelled 1,000 kilometres from South Gippsland to Sydney to see the opening of the Sydney Harbour Bridge. Can Gracey and Mikey complete 24 hours of his journey?', 'Former world record holder Wilhelmina ""Mina"" Wylie, along with friend Fanny Durack, were Australia\'s first female Olympians, swimming their way to victory at the 1912 Stockholm Games. Can Sienna and Paige beat Mina\'s time?', 'In 1940s Melbourne, teenage milkman Conway Tighe got up in the early hours every morning to harness his horse and complete his milk deliveries on time. Will Jeffrin and Harry match his dedication and get the job done?', 'In 1898 13 year old Cornish miner Robert Richards worked full time, attended night school, did chores and raced billy carts! Can Jack and Makayla finish all his jobs and still make it to the Moonta Goat Cart championships?', 'In 1832, 13 year old Kadli was chosen as the best player of the match during a Kaurna game of Parntu. Can our modern footballers Ray Ray and Jaikye match his skills to win the best and fairest title?']","[""['Host Ghenoa Gela']""]",2022-03-28 19:00:00,G,"[1442.0, 1442.0, 1442.0, 1440.0, 1413.0, 1442.0, 1442.0, 1442.0, 1442.0]","['ABC ME', 'EDUCATION', 'FAMILY']","['family-viewing-abcme', 'family-viewing', 'primary-humanities', 'education', 'abc3', '3featured', 'childrens']",https://cdn.iview.abc.net.au/thumbs/i/ch/CH1913S004S00_5ed5acc9c6590.jpg
10315,Marking Time,Drama,"Eighteen-year-old, Hal finds himself falling in love with young Afghan refugee, Randa. However, a shift in his town's views on refugees threatens to tear them apart.","[""Hal finds he is falling in love withe Randa. Hal's father is to get married. Hal and Randa enjoy their relationship despite impending issues."", ""Hal's relationship with Randa becomes more intimate, and he introduces her to the Brackley crowd. The message of tolerance and welcome of the Olympics Games fades as its first anniversary approaches."", 'In the afterglow of the 2000 Olympics, Hal Fleming decides to take a year off, rather than go to university with his classmates. He meets the torch girl, an Afghani refugee.', 'September 11 changes Brackley. Hal and Randa are forbidden to see each other. Randa faces the threat of deportation. Hal finds he is a stranger in his own country. (Final)']","[""'Abbie Cornish']"", ""['Cast Abe Forsythe'"", ""'Bojana Novakovic'"", ""'Matt Le Nevez'""]",2021-06-25 07:00:00,M,"[3187.0, 3184.0, 3112.0, 3195.0]","['ABC TV', 'DRAMA', 'REGIONAL AUSTRALIA']","['diversity', 'regional', 'coming-of-age', 'ns:be-entertained', 'aussie', 'a:older-sink-dink', 'drama', 'a:established-parents', 'refugees', 'a:young-sink-dink', 'relationships', 'ns:understand', 'emotional', 'mini-series', 'australia', 'cald', 'love', 'forbidden-love', '2000s', 'cultural-differences', 'critically-acclaimed', 'award-winning', 'abc1', 'romance', 'revealing']",https://cdn.iview.abc.net.au/thumbs/i/dr/DR0204H002S00_60d18177cc918_1600.jpg
10379,Pablo,Kids,"Pablo is a 5 year old boy who is on the autism spectrum. Using his magic crayons, Pablo bravely turns his life challenges into fantastic adventures and his feelings into colourful characters in order to face the Real World.","[""It's bedtime, but Pablo keeps turning the light back on. Wren worries that when you go to sleep you disappear. Mouse doesn't think this is true, but Pablo agrees with Wren."", 'The fox cub is getting ready to go to a wedding, but when he discovers a big purple creature with feathers on top of her head he wonders where his mum has gone.', 'The youngster becomes tired of talking, but Draff still wants to chat, so the gang works together to find way of playing without words.', ""When Pablo meets Mum's friend Fiona, all he notices about her is one bright shiny button. He tells the Book Animals 'it's a Fiona', but they have all seen something different."", 'Pablo is fascinated with the boy in the mirror. He draws his new friend and introduces him to the Art World, but being friends with a reflection has its own limitations.', 'The youngster is horrified to learn he has outgrown his coat, and he tries to draw himself small again so that it will still fit.', 'The youngster splashes in a puddle, making little spots of light dance about on the surface, and everyone tries to catch the Sparkles.', 'Nervous about a noisy birthday party, Pablo runs back to the car. In the Art World his friends join him and help him realise that a party is just when friends get together.', 'There is an unusual smell in the house that Pablo finds very distracting. In the Art World the Aroma becomes a swirling character that makes it hard to think or speak at all.', ""Pablo can't find his Big Book of Animals. He needs to make sure that it is still exactly the same. This is where the Book Animals come from, so they want to find it too."", ""The youngster is woken by loud banging and scraping, and decides all that racket could only be made by a fearsome 'noise dragon'."", ""When Pablo's Granny makes his lunch, she cuts his sandwiches into squares. However, Pablo only eats triangles. The Book Animals try to help Pablo find his real lunch."", 'Mouse finds the noisy colours of the supermarket overwhelming. Pablo and his friends try to help, putting her in the trolley and letting her look at the lovely quiet list.', ""One day Pablo hears a strange sound and discovers his Mum has some squeaky new shoes. He wants to know what they're trying to say. Are the shoes crying or laughing?"", 'After having a bath, Pablo is upset that his smell is gone. He enlists the help of Bubble Bottle and his friends to track down his smell and follow it down the drain.']",['[]'],2022-03-25 13:30:08,G,"[660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0]",['ABC Kids'],"['4featured', 'abc4kids']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1470A008S00_5ac5a195abe4f_1280.jpg
10395,Play School Art Crew,Kids,"The much-loved 'Art Crew' return to the Art Time studio with more inspiring projects! Settle in for some slow TV, as they delight in creating, discovering and enjoying some quiet time in the immersive world of art making.","['The Art Crew are all ready to paint self-portraits!', 'The Art Crew are making puppets using all kinds of kitchen utensils and materials for a puppet show.', 'In this episode the Art Crew get inspired by Australian animals and draw their own animals, which are put onto a colourful background.', 'The Art Crew are joined by some special mini beast visitors! Using clay and nature craft, they create a fascinating bug world of their very own.', ""We're stomping with dinosaurs as the Art Crew create dinosaurs out of colourful dough."", 'In this episode the Art Crew discover all sorts of shapes by making Matisse inspired cut outs!', 'Inspired by sea life, the Art Crew use printmaking to create a wonderful underwater world.', 'The Art Crew are taking us to the farm, using recycled boxes and materials to build farm animals and tractors.', 'The Art Crew delight in drawing and creating beautiful bird artworks using colourful tissue paper.', 'Get ready to blast into space as the Art Crew explore the wonder and beauty of our solar system. They create colourful paper solar systems with chalk and neon pens on black card.', 'Set sail with the Art Crew as they make all types of boats using recycled materials.', ""The Art Crew are inspired by Monet's beautiful water lilies and get busy with a collaborative painting using sponges and acrylic paint. Next, they create colourful lily pads with food dye plus tissue paper flowers."", 'Be on the lookout for monsters about! The Art Crew use recycled bottles and materials to make some silly monster characters.', 'The Art Crew are bringing in unwanted objects from home which will ignite our imaginations for storytelling with art.', ""It's time to make robots using all kinds of recycled objects and boxes."", 'Inspired by interesting buildings in the city, the Art Crew are creating a city scape with blocks and tape.', 'Inspired by artist Bronwyn Bancroft, the Art Crew use household objects to paint their own patterns and landscapes.', 'Inspired by a trip to the local market, we have fruit and flowers for the Art Crew to create a still life painting.']",['[]'],2020-08-24 16:51:00,G,"[373.0, 265.0, 396.0, 274.0, 347.0, 361.0, 336.0, 297.0, 353.0, 375.0, 298.0, 402.0, 362.0, 334.0, 322.0, 380.0, 315.0, 369.0]",['ABC Kids'],"['abc4kids', '4play-school', 'childrens', '4liveaction']",https://cdn.iview.abc.net.au/thumbs/i/ck/CK2025H004S00_5f360a25121f8_1673.jpg
10553,The Wonder Of Marsupials,Family,"From Australia's scorching desert heart to pristine rainforests in the north, we'll meet the biggest and the smallest marsupials, the rarest and the most successful as we journey to see the Wonder of Marsupials.","['This is the story of the marvelous desert specialist marsupials, from the small carnivorous hunters to the enormous red kangaroo. In the forests, marsupials push the limits of adaptations, and even take to the skies.', 'Australia is a vastly different place now compared to what it was when marsupials first came to be. Threats are abundant and marsupials now face an uncertain future. (Final)', 'This is the story of how marsupials came to be the dominant mammal in Australia and how they diversified into some of the most challenging environments on Earth.']","[""'Edward Saltau']"", ""['Director Daniel Hunter'""]",2021-06-18 07:00:00,,"[3000.0, 3000.0, 3000.0]","['ABC TV Plus', 'ABC TV', 'DOCUMENTARY', 'FAMILY']","['ns:be-informed', 'natural-world', 'compelling', 'aussie', 'a:older-sink-dink', 'heartfelt', 'factual', 'docuseries', 'a:retirees', 'family-viewing', 'abc2', 'a:established-parents', 'entertainment', 'a:young-sink-dink', 'informative', 'ns:be-inspired', 'animals', 'australia', 'inspirational', 'environment', 'docs', 'abc1', '2010s', 'a:young-adults', 'a:home-duties', 'a:working-parents']",https://cdn.iview.abc.net.au/thumbs/i/ai/AI1855H002S00_60b6c623c77ab_1280.jpg
