0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
10028,10547,10187,10617,10128,10412,10232,10271,10066,10008,10447,10225,10357,10378,10147,10568,10581,10157,10505,10323,10605,10015,10268,10517,10542,10309,10242,10083,10399,10245,10448,10594,10021,10207,10178,10529,10038,10552,10169,10585,10531,10358,10308,10548,10176,10094,10559,10114,10417,10292,10233,10067,10261,10328,10355,10217,10166,10024,10203,10513,10191,10344,10425,10555,10561,10189,10464,10197,10086,10491,10116,10604,10498,10489,10359,10563,10002,10316,10123,10453,10558,10031,10424,10124,10557,10602,10356,10100,10551,10609,10571,10450,10102,10036,10466,10081,10427,10115,10122,10382,10318,10149,10020,10521,10504,10193,10159,10603,10502,10195,10106,10305,10509,,,,,,,,,,,,,,,,,,,,,,,,
10575,10547,10419,10128,10187,10412,10582,10048,10066,10140,10321,10030,10357,10008,10445,10296,10400,10515,10286,10516,10025,10542,10596,10476,10452,10257,10480,10105,10367,10444,10155,10612,10435,10374,10178,10337,10191,10186,10192,10307,10041,10361,10381,10293,10244,10126,10095,10136,10315,10208,10580,10019,10010,10135,10471,10418,10118,10416,10301,10610,10000,10308,10087,10354,10114,10331,10486,10434,10458,10073,10456,10180,10275,10260,10101,10552,10278,10169,10052,10201,10524,10148,10031,10184,10440,10320,10397,10124,10104,10341,10478,10204,10046,10531,10074,10497,10171,10250,10288,10280,10595,10093,10573,10607,10179,10332,10141,10388,10450,10102,10164,10165,10160,10384.0,10461.0,10071.0,10089.0,10107.0,10509.0,10132.0,10290.0,,,,,,,,,,,,,,,,
10088,10419,10547,10128,10412,10582,10617,10271,10447,10550,10225,10592,10256,10357,10378,10034,10147,10431,10455,10568,10581,10226,10593,10443,10044,10366,10505,10246,10407,10057,10253,10517,10333,10623,10207,10038,10577,10463,10493,10587,10556,10622,10422,10016,10444,10565,10448,10488,10520,10529,10435,10267,10221,10190,10512,10385,10456,10525,10308,10541,10166,10247,10295,10325,10212,10013,10374,10203,10259,10237,10311,10369,10425,10297,10429,10310,10387,10491,10338,10051,10519,10006,10468,10210,10572,10442,10163,10031,10274,10097,10361,10381,10064,10607,10341,10557,10610,10154,10474,10588,10608,10495,10058,10584,10087,10413,10365,10036,10027,10164,10539,10466,10304,10454.0,10160.0,10138.0,10122.0,10079.0,10255.0,10586.0,10283.0,10181.0,10303.0,10384.0,10228.0,10404.0,10458.0,10526.0,10403.0,10093.0,10069.0,10148.0,10524.0,10177.0,10564.0,10330.0,10401.0
10088,10187,10582,10271,10550,10533,10243,10256,10059,10431,10455,10515,10568,10012,10317,10158,10200,10463,10326,10041,10323,10253,10209,10499,10390,10281,10492,10541,10247,10549,10212,10425,10117,10512,10579,10560,10342,10353,10491,10437,10129,10488,10600,10614,10418,10396,10606,10531,10197,10428,10369,10182,10328,10565,10355,10302,10021,10216,10139,10497,10279,10367,10061,10276,10043,10511,10375,10331,10042,10507,10027,10460,10031,10481,10064,10341,10557,10002,10405,10053,10518,10538,10144,10388,10160,10450,10102,10019,10010,10135,10551,10409,10474,10205,10065,10277,10131,10215,10543,10457,10184,10320,10440,10033,10223,10283,10601,10026,10454,10115,10138,10458,10327,10421.0,10106.0,10177.0,10250.0,10122.0,10603.0,10433.0,10404.0,10020.0,10363.0,10509.0,10290.0,10528.0,,,,,,,,,,,
10128,10412,10617,10364,10550,10225,10048,10430,10174,10140,10008,10066,10032,10243,10568,10581,10499,10390,10492,10233,10292,10616,10210,10129,10182,10572,10600,10614,10577,10080,10399,10571,10114,10351,10156,10353,10342,10098,10070,10534,10078,10027,10336,10061,10456,10465,10116,10234,10429,10146,10240,10040,10155,10410,10175,10387,10612,10021,10377,10511,10529,10375,10072,10295,10238,10049,10565,10462,10559,10495,10318,10478,10507,10133,10171,10013,10470,10004,10176,10125,10361,10381,10121,10101,10301,10416,10356,10446,10566,10104,10341,10557,10282,10482,10393,10154,10254,10394,10502,10168,10173,10006,10468,10376,10391,10574,10159,10485,10277,10461,10071,10239,10054,10573.0,10255.0,10483.0,10205.0,10231.0,10227.0,10300.0,10056.0,10379.0,10558.0,10453.0,10058.0,10601.0,10509.0,10132.0,10401.0,10528.0,,,,,,,
