id,title,category,description,description2,directors_actors,publication_date,rating,duration_sec,tags,tags2,image
10229,Hoot Hoot Go!,Kids,"Let's work together! Let's solve the problem! Hoot, Hootabelle and Hootly are best friends who live together in the Land of Giggle and Hoot. Whenever someone needs help, these three owl pals come together to solve the problem.","[""Hoot and Hootabelle want to go cloud bouncing with Hootly, but she doesn't know how to do it because she's never been cloud bouncing before! How can they all go cloud bouncing together if Hootly can't join in?"", 'Pirate Hootbeard is upset when he discovers his favourite Star Cloud photo from his Piratey Book of Clouds is gone! How will the Owl Pals help Pirate Hootbeard find another Star Cloud and take a new photo?', ""The Owl Pals go to Button Island to visit Pirate Hootbeard, but he isn't feeling like his usual piratey self because he's lost his mighty Yarr! How can the Owl Pals help Pirate Hootbeard get his mighty Yarr back?"", ""It's Happy Hoot Day - the day Hoot gets to do his most favourite things! He's so excited that he forgets to share his favourite things with his Owl Pals. How can Hoot have a Happy Hoot Day if he's not sharing?"", ""The Owl Pals are playing dress-ups when they realise it's time for the Night Watch. They prepare to fly off into the Nighty-Night sky, but Hoot isn't ready! How can the Owl Pals go on the Night Watch if Hoot isn't ready?"", ""When Giggle Fangs' Fangifier breaks, it makes the Batty Lair too bright and loud. The Owl Pals each try fixing the Fangifier, but nothing works! How can they fix it and turn everything back to normal?"", 'Brave and adventurous Hootaluna gets unexpectedly homesick when she has her first sleepover at the Button Tree with the Owl Pals. How can they have the best sleepover ever if Hootaluna wants to go home to the moon?', ""The Owl Pals offer to look after Giggle Bot while Hootaluna goes on a space adventure. But Giggle Bot runs out of energy and can't moon bounce anymore. How can they go moon bouncing if Giggle Bot is too tired?"", ""Hoot, Hootabelle and Hootly are on the Night Watch when they discover Pirate Mini-Hootbeard is wide awake and can't get to sleep! How can the Owl Pals help Pirate Mini-Hootbeard fall asleep?"", ""The Owl Pals throw a surprise party for Giggle Fangs, but it's way too colourful, bright and loud for him - he likes things dark and quiet! How can the Owl Pals give Giggle Fangs a party he likes?"", ""Hootaluna wants to show the Owl Pals how to moon bounce! They don't call her 'Moon Bouncer Extraordinaire' for nothing! The Owl Pals try, but can't get it right. How can they moon bounce together if the Owl Pals can't do it?"", 'The Owl Pals are on the Night Watch when the stars start disappearing from the sky! Giggle Fangs has made all the stars disappear so he can have a nice bat nap. How can they finish the Night Watch if there are no stars?', ""The Owl Pals visit the Moon so Giggle Bot can show them his new Moon Bot dance! They're super-excited, but then the moon music player breaks! How can Giggle Bot do his new Moon Bot dance if the moon music player is broken?"", ""The Owl Pals invite Hootaluna to sing in their Owl Choir - they don't call her 'Hootaluna - Singer Extraordinaire' for nothing! But Hootaluna gets stage fright! How can the Owl Choir perform if Hootaluna can't sing?"", 'The Owl Pals are off to search for the Perfect Piratey Picnic Spot with Pirate Hootbeard, but they lose their special map showing the perfect picnic spot! How can they have a picnic without the perfect piratey picnic spot?', ""Hootaluna gives the Owl Pals a Moon Dancing lesson, but her Moon Boots malfunction... and the lesson is ruined. How can Hootaluna be the best moon dancing teacher in the Giggle Galaxy if her Moon Boots don't work?"", ""Hoot, Hootabelle and Hootly invite Giggle Fangs and his toy Giggle Bug to a tea party at the Button Tree. But when he arrives, they can't find Giggle Bug anywhere! How can they have a tea party without Giggle Bug?"", ""It's Boo Day - everyone dresses up as bats and surprises each other with a 'Boo!'. The Owl Pals go to the Batty Lair to celebrate with Giggle Fangs, but his boo doesn't work! How can they help him get his boo back?"", ""Hoot, Hootabelle and Hootly are getting ready to go to Pirate Mini-Hootbeard's birthday party, when Hoot realises his pirate outfit has shrunk! How can he go to a piratey party without a piratey outfit?"", ""The Owl Pals are putting on a special concert for their toys - but they can't agree on which song to sing. How are they going to put on the best concert ever for the toys without the right song to sing?"", ""When Hoot, Hootabelle and Hootly can't find Pirate Mini-Hootbeard during a game of Hoot and Seek, they make the Button Tree super messy trying to find where he's hiding. How can they find Pirate Mini-Hootbeard now?"", ""The Owl Pals have each made a cubby house, but when they decide to have a tea party in one of them, they can't choose because none of them are quite right. How will they have their tea party without the perfect cubby?"", ""The Owl Pals want to go on a big treasure hunt with Pirate Hootbeard.  But Pirate Mini-Hootbeard wants to go on a little treasure hunt! How can the Owl Pals find a tiny treasure that's just the right size for a mini-pirate?"", ""The Owl Pals want to go rainbow sliding on the colourful Button Rainbow, only to find Giggle Fangs has turned it grey because it's his favourite colour. How can they make the Button Rainbow all the colours everybody loves?"", ""Hootaluna offers to help the Owl Pals find their missing Hootball, but she's mistaken it for a Moon Rock and added it to her Moon Rock Collection! How will Hootaluna find the Hootball if she doesn't know what it is?"", ""The Owl Pals want to play Hoot and Seek with Giggle Fangs, but his Supersonic Bat Hearing makes it hard for him to play because he can hear them no matter where they hide! How can they play if Giggle Fangs can't join in?""]",['[]'],2022-03-27 05:27:14,G,"[307.0, 312.0, 305.0, 312.0, 312.0, 311.0, 312.0, 312.0, 312.0, 291.0, 297.0, 309.0, 305.0, 310.0, 310.0, 312.0, 312.0, 312.0, 296.0, 307.0, 293.0, 295.0, 311.0, 311.0, 312.0, 311.0]",['ABC Kids'],"['hoot-hoot-go', '4animals', '4halloween', 'abc4kids', '4space-day']",https://cdn.iview.abc.net.au/thumbs/i/ch/CH1432H005S00573557eb1b0883.36481635_1280.jpg
10343,Muster Dogs,Family,Five graziers from across Australia are given five Kelpie puppies from the same litter and set with the challenge of transforming these uniquely Australian dogs into champion muster dogs.,"['The puppies are now one year old and have all gathered with their owners to complete their final 12-month assessment. One pup shines brighter than the pack and is rightfully crowned Champion Muster Dog! (Final)', 'The puppies are now six months old and are very busy developing their stalking livestock techniques and learning manners and basic calls.', ""It's spills and thrills as the puppies and trainers stumble and at times leap through the milestone challenges. Frank and CJ are going well but Joni, Aticia and Rob are off to a bumpy start."", 'Five graziers from across Australia are given five Kelpie puppies from the same litter and set with the challenge of transforming these uniquely Australian dogs into champion muster dogs.', 'Spanning the red earth of the Top End to the green pastures of regional Victoria, this new four-part documentary series follows five Kelpie puppies from the same litter on their journey to become muster dogs.']",['[]'],2022-01-23 19:42:00,G,"[3420.0, 3390.0, 3360.0, 30.0, 3360.0]","['ABC TV', 'DOCUMENTARY', 'REGIONAL AUSTRALIA', 'FAMILY']","['endearing', 'real-life', 'diversity', 'regional', 'wildlife', 'factual', 'docuseries', 'iview', 'family-viewing', 'trailers', 'charming', 'farm', 'animals', 'farming', 'binge-worthy', 'feel-good', 'australia', 'inspirational', 'docs', 'uplifting', 'small-town', 'lighthearted', 'abc1', 'promo', 'outback']",https://cdn.iview.abc.net.au/thumbs/i/rf/RF2003H004S00_61e77f8859c0e_1920.jpg
10376,Operation Ouch! Hospital Takeover,Family,Chris and Xand join forces once again as Operation Ouch takes over Alder Hey to reveal the incredible things that go on behind the scenes and on the wards of one of Europe's largest children's hospitals.,"[""The Doctors reveal why your body can't survive without oxygen for more than three minutes, and they find out what it's like to be 999 Call Handlers in Operation Takeover."", ""The Doctors reveal how amazing your saliva is, and they find out why the hospital's maintenance teamwork with birds of prey. Dr Chris heads to the Emergency Department to find how the doctors know who to treat first."", ""The Doctors reveal the amazing army of germ-fighters that make up your immune system, and they find out just how difficult it is to clean a baby's incubator in Operation Takeover."", 'The Doctors reveal the special cells in your eyes which help you to see out of the corner of your eye and they find out what it takes to be a hospital entertainer.', 'The Doctors reveal how important cartilage is to your body with the help of a suit of armour, and they find out what it takes to be a hospital porter. Dr Chris meets Nala the dog to see how she helps patients in hospital.', 'The Doctors reveal how your eardrum works to enable you to hear and they find out how tough it is to be Hospital Radio Hosts. Dr Chris discovers what it takes for anesthetists to keep you safe and pain-free during operations.', 'In the last episode of the series, the Doctors reveal the amazing strength of your jaw, and they see if they can take the heat when they try their hands at being hospital ward chefs in Operation Takeover.', ""The Doctors reveal the amazing job your pancreas does to keep your blood-sugar levels in check, and they find out what it's like to be the hospital postman in Operation Takeover."", 'The Doctors find out why we burp and even manage a world first when they film Dr Xand burping from the inside. They also get behind the wheel to discover what it takes to be a good ambulance driver.', ""The Doctors reveal what makes you flexible as they test the incredible strength of a tendon to the max, and they find out what it's like to be Air Ambulance pilots in Operation Takeover.""]","[""'Chris Van Tulleken']"", ""['Cast Xand Van Tulleken'""]",2020-10-18 06:01:00,G,"[1693.0, 1695.0, 1689.0, 1695.0, 1695.0, 1695.0, 1684.0, 1693.0, 1695.0, 1673.0]","['ABC ME', 'FAMILY']","['family-viewing-abcme', 'abc3-faves', 'family-viewing', 'me-officially-crazy', '3tween', 'abc3', 'me-new-releases', '3family', '3real']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW0923A004S00_58649d024227e_1280.jpg
10483,The Adventures Of Paddington,Kids,"The Adventures of Paddington is a new version of a familiar bear. A heart-warming show about being curious, being good to others, and being part of a loving family.","[""The children want to camp out for the night in the treehouse. Mr Brown is worried he won't get sleep as the kids will be scared. Paddington wants to prove him wrong, but a lightning storm means they have to come in doors."", 'Mrs Bird is a champion hide and seeker, but where is she? Paddington, Jonathan and Judy must try to find her.', 'Mr Gruber gives Paddington a box of magic tricks, but Paddington cannot master the tricks until he learns to practice, practice, practice.', ""It's Pancake Day. But in the Brown's house, it's cancelled as Mrs Bird has hurt her arms snowboarding and only she knows the secret recipe. Paddington rescues the day with his own attempts at making a flat cake."", 'Jonathan has lost his balloon. Paddington tries to get him a new one but accidentally ends up flying all over London. How will he get down? Pigeonton get help!', ""Judy has forgotten to do her homework and can't think of what to do for her geography project. Paddington tries to help and ends up being the subject once he talks about his home."", 'Mr Curry is invited by Paddington to stay with the Browns whilst his flooded house is being repaired. He thinks the Browns are too disorganised, so he starts to change the way things are done in the house. When will he leave?', ""Paddington does not have a hobby the Browns all seem to be good at something, but's he's not. Mrs Brown finds out what Paddington is good at in the end."", ""There's a monster in Paddington's room, so Mrs Bird takes Paddington on a monster hunt."", ""Jonathan and Paddington dig up some broken pottery. It turns out it's not Roman, but a statue made by Mrs Brown. But who broke it? Was it Judy's guilty secret? Or was it Mr Brown?"", ""Paddington wins a raffle and first prize is a meal for two at Sofia's cafe, but who is Paddington's best friend? Is it Jonathan or Judy or Mateo or Mr Gruber? It's time to find out... how will he choose a best friend?"", 'Paddington accidentally takes a banana from the cafe without paying for it. He must return it before Sophia notices and calls PC Wells, but Mrs Bird turns it into a cake! What will he do?', ""Paddington is accidentally delivered inside a wardrobe to Mr Curry's house. How will he get out before being discovered?"", 'The family all have chores except Paddington. So as not to be excluded, Mr Brown creates a list for him to follow, but Paddington picks up the wrong list.', 'A pigeon comes down the chimney at 32 Windsor Gardens. Paddington nurses the poor bird back to health and discovers a new friend in Pigeonton, but can he let him go?', ""Mateo and Judy form a secret club in the treehouse but won't let Jonathan and Paddington join without a password. Can Paddington discover the secret code word?"", 'Mr Gruber gives Paddington a film camera to record his adventures in Windsor Gardens to send to Aunt Lucy in the retired home for bears in Lima. What will he film?', ""Paddington gets his arm stuck in a post box after accidentally using Mr Gruber's rare Penny Black on his letter to Aunt Lucy."", 'Paddington is given a metal detector by Mr Gruber. Beep beep beep! What has Paddington found now? Is it the lost pirate treasure or just another rusty bottle cap?', ""It's snowing in Windsor Gardens. Paddington has lost a special wooly hat given to him by Aunt Lucy and must find it. Will the brave polar explorers Jonathan, Judy and Paddington return?"", ""Mrs Brown can't find inspiration for her next art work so Paddington decides to help find her mojo!"", 'Judy does not like violin lessons so she hides from Ms Potts. Paddington takes up the challenge. Watch out, ears!', ""Pigeonton has nested in a lamp post outside Mr Gruber's shop, but the council have condemned it! Where will Pigeonton live now? Paddington decides to find him a new home!"", ""Jonathan teaches Paddington football, but Paddington kicks the ball into Mr Curry's garden. Can we have our ball back? No! They decide to get it back by climbing over the fence. Mind my gnomes!"", ""Paddington is playing a game with Jonathan and Judy in the park. Mateo thinks it looks fun and wants to play too, but he can't because he is looking after the cafe. Paddington says he will watch the cafe so Mateo can play.""]",['[]'],2022-03-26 17:15:16,G,"[660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0, 660.0]",['ABC Kids'],"['abcme-shoulder', 'abc4kids']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2511A009S00_5ff3e6d725fdc.jpg
10520,The Next Step,Family,"An unexpected opportunity divides The Next Step. While some dancers choose the road to Nationals, others seize a once in a lifetime chance to launch their dance careers into the stratosphere.","['Five years after Summer won Dancemania, all the girls are on very different paths. Richelle sends a party invite to the girls.', 'Prom night at TNS ignites new flames, old rivalries, and a whole lot of dancing.', 'After staying up all night to prep, Finn makes a major misstep and Emily is left scrambling to fix it. A-Troupe lets off some steam, but their fun is cut short when they discover their former teammate at their door.', 'Nick brings a surprise guest to the studio to help a confused group of A-Troupe dancers step out of their shells. Nick runs through a series of team building exercises with Emily in the hopes of bringing them closer together.', ""Henry's arrangements for a special date gets derailed when he has to select a new song for a routine, and every dancer wants to weigh in. Emily receives a series of thoughtful gifts and tries to determine who they're from."", ""In this alternate storyline series, what if Summer had successfully auditioned for Dancemania while Richelle stayed with A-Troupe and thereby changing the trajectory of everyone's lives?"", 'The announcement that TNS is going to hold a Prom sends the dancers into a promposal frenzy with surprising pairings.', 'Richelle hosts an in-depth analysis of the finale dance that made Dancemania history.', 'TNS and Acronation find themselves competing for rehearsal space with Regionals at stake.', 'TNS and Acronation develop new routines for the tiebreaker. While rehearsing, Acronation encounters a dilemma that puts their chances in jeopardy. The TNS team are faced with questions about what the future holds.', 'Jones from J-Cruise harnesses his clout to enter the game. Richelle battles Jones for his spot, but fans are quick to question her intentions.', 'Richelle calls Noah, who has a diary full of wisdom from his time as Dance Captain.', ""When Summer makes a choice affecting Henry's spot at Nationals, he questions her decision, leading to a difficult realisation about their relationship. Piper cancels plans with Finn and Amy at the last minute."", ""Amy tries to keep her mind off of Piper's betrayal by helping Henry with a routine. After Henry reveals his inspiration for the routine, Amy realises that she and Piper aren't so different."", 'After candidates for the alternate position are announced, Ozzy struggles with a big secret.', 'Surprising new friendship dynamics arise as TNS gears up for the Dance Convention.', 'With never before seen footage we see the rivalry of Ozzy and Heath heat up on the Dancemania stage as they determine who is Tweedle Dee and who is Tweedle Dum.', 'The Next Step cast remember first times on set, iconic moments from across the series, and what the fans have meant to them.', ""Frederico issues a Glow Down Challenge, forcing A Troupe to turn against each other and reveal their teammates' most embarrassing secrets."", 'Kenzie tries to ""be bold"" and work on the choreo without Richelle, but Cleo urges her to reconsider.', 'As the new strict Studio Head of The Next Step is revealed, so is the fate of Michelle and Emily.', 'In her quest to prove her worth at The Next Step, Amy brings her A-game to A-Troupe...with surprising results.', ""Richelle hasn't had any response from her invitations, so she decides to take matters into her own hands. When she calls Kenzie and Lily, she gets the full story about why the two are no longer friends."", 'Alex Beaton (Emily) and Victoria Baldesarra (Michelle) reflect on season 1 of The Next Step - the season that started it all.', ""A-Troupe reels from the news that they've lost their best dancer and turn to a familiar face to replace them. As Emily mulls over her enticing offer, Nick makes a counter offer, making it impossible for Emily to decide."", ""Summer's new plans with Cleo all hinge on performing a perfect dance routine for a VIP. However, when Jude struggles with the choreo, Summer's left with the difficult choice to take Jude off the dance."", 'Tired of being pulled in different directions by her two best friends, Piper gets Finn and Amy together in the hopes of sparking a friendship between them, but finds it quickly turning into a disaster.', ""With Piper dubbed a 'wet blanket', Finn challenges her in an attempt to prove she's as fun as Finn knows she is."", 'With the title hanging in the balance, Piper has doubts about her ability to perform under pressure. The competition yields unexpected results, and Lily stumbles upon a scene that could change everything.', 'Richelle calls Piper, and the two discuss their pasts as Dance Captains of TNS East and TNS West.', 'Richelle is back and A-Troupe desperately hopes she will bring down Miss Angela.', 'A five bonus point advantage for Regionals hangs in the air as Summer, Amy, and Lily compete for the top soloist title.', 'Isaac Lupien (Eldon) and Jordan Clark (Giselle) reminisce over filming in Miami and saying goodbye to the original A-Troupe in season 3.', ""Working as Summer's assistant is not all it's cracked up to be. So when Summer calls Cleo in the middle of the night with some outrageous demands, Cleo has no choice but to jump into action."", ""Tensions run high in A-troupe when Finn's mistake leads them to rework their routine hours before their set to perform. Nick is forced to make a difficult decision that results in Piper paying for Finn's mistake."", 'Jennie Pappas (Chloe) and Logan Fabbro (Amanda) talk about the flash mob, nationals, seeing their castmates as family and reflecting on season 2.', 'A-Troupe begins the road to Nationals, but first, they have an emotional send-off for Michelle. Emily stews alone in her office until her feelings erupt in an unexpected way.', ""With Kenzie and Lily unwilling to resolve their differences, Richelle reaches out to Piper in hopes she will come to Richelle's party. But Piper doesn't give her the response she had hoped."", ""To help Piper, Noah strikes a bargain with Miss Angela's daughter, Lily, which ends in surprising results."", 'Amy feels the pressure when she and AcroNation dance off against various studios for the Wild Card spot at Regionals.', ""A-Troupe preps for their dance but an unexpected twist throws a massive wrench in their performance. As A-Troupe's future rests on an unexpected dancer's shoulders, a crisis of confidence threatens to sink the routine."", ""Piper's attempts to come clean to Amy hit a roadblock after she learns some unexpected news. Nick attempts to console a devastated Richelle after she's removed as the face of Absolute Dance."", 'With a thunderstorm raging outside and rehearsal time running out, Henry struggles to pick up the choreo for a Nationals routine. Trying to help Henry, Summer finds their relationship tested.', ""TNS arrives at Regionals to perform the hip hop, contemporary, and ballet routines. One dancer fears she has ruined the team's chances, while another struggles to get past her relationship drama."", 'Lily and Amy battle in a Lip Sync Challenge. With fans thinking Lily\'s ""all style no substance"" and Amy\'s a snoozefest, each dancer attempts to show another side of themselves and prove the fans wrong.', 'Richelle calls Michelle and Giselle, hoping they know the whereabouts of the diary.', 'Lily reveals Encore is looking for another dancer, and Davis vies for the spot. Ozzy develops a story for the B-troupe showcase based on his favourite video game, Legions of Lasers, but Richelle is skeptical.', 'Frederico reveals four of the dancers are ""front row"" fan favourites! But four others aren\'t - yet.', 'Kenzie hosts as she explores what it was like to be on Dancemania, the fans, the audience, but most of all what happened behind-the-scenes.', 'Cleo and Jude talk about their happiness at being in a new relationship, and about the complications it might cause on the road to Nationals. They consider what the future will hold for them and for B-Troupe.', ""A-Troupe buzzes with excitement, ready to perform for the biggest opportunity of their lives. Their excitement is cut short when Summer fails to show up. Piper and Amy's friendship is tested."", 'With time running out and the fate of The Next Step in her hands, Piper struggles to reignite the love of dance in everyone.', 'A Troupe faces off in a final dance battle to win fans back and make it to the front row.', 'Concerned Miss Angela is on the hunt for the diary as well, Richelle calls Lily.', ""Summer receives a letter offering a life-changing opportunity that would ruin Cleo's plans. Summer wrestles with the decision of whether to follow her heart or stick with Cleo."", 'Summer is blindsided after Richelle returns from an Absolute Dance convention and changes the choreo for a routine. A-Troupe votes on which choreo they prefer which leads to a stunning result.', 'In this Dancemania Mania vidcast, Ms Angela interviews Richelle and Kenzie along with a guest judge. Richelle and Kenzie consider what could have been if they had chosen differently.', 'The dancers are placed into pairs to determine the contemporary routine, leading to new tensions on A-troupe.', 'Sage Linder (Summer) and Katie Ortencio (Lily) discuss the rocky relationships and themes of change in season 7.', 'New relationships are put to the test when TNS has a solo competition for a Regionals advantage.', ""Kenzie helps Richelle understand that even without the diary, she's ready to be Dance Captain."", 'Kenzie contemplates Dancemania, and how her loyalty to A-Troupe affected her friendship with Richelle. She considers how to balance her friendships, her status on A-Troupe, and future goals, while also being a good teammate.', 'A-Troupe decides to take on a new opportunity but with Nationals right around the corner, the studio is busier than ever. A well-known dancer is brought in to choreograph a Nationals duet for Lily and Kingston.', 'Emily reluctantly agrees to help her secret admirer, revealed to be a person from her past. In return they extend Emily an enticing offer. Nick pairs up the A-troupe dancers in order to prepare for a major performance.', 'When two surprise guest judges visit The Next Step, A-Troupe vies for featured parts in the Regionals hip hop routine.', 'Summer is tricked by dancers who are threatened by her, while TNS rents out some rehearsal space to a new dance team: AcroNation.', ""Briar Nolet (Richelle) and Myles Erlick (Noah) recall the emotional journeys leading up to their final duet and Noah's goodbye."", 'With everyone making amends, they decide to call Richelle to tell her they can make it to the party, after all. However, things get dramatic when Cleo gets a call from Summer and has to face her biggest fear head on.', ""As Richelle describes hers and Kenzie's plans for a brand-new diary for the team, by the team, an unexpected guest pops on the call with a big surprise!"", ""Nick hosts an interview with The Next Step's best studio head, Emily."", 'Noah attends an audition, while A-troupe works furiously to keep their team intact.', 'Pete talks about failure and his feelings around not making it on to A-Troupe. He explores how he was able to rise above this bump in the road and how he and B-Troupe are now unstoppable.', ""Emily finds a staggering fact that could spell the end of A-troupe's chances at Nationals and the end of one dancer's spot on the team. Fearful of jeopardising her friendship with Amy, Piper attempts to hide her feelings."", ""Piper learns what life would be like if she never joined The Next Step and discovers how many lives she's touched through the years."", 'As Michelle and Emily deal with a troubling revelation about Regionals, family and friendships face new challenges.', 'With the help of A-Troupe, Richelle sets in motion a plan she hopes will rid The Next Step of Miss Angela.', ""Getting Richelle's invitation in the mail has caused everyone to reminisce about the past and miss their friends. In solo dances, each dancer works through their feelings."", ""Alex Chaves (Piper) and Shelby Bain (Amy) remember the new cast's nerves, Jiley versus Ralfie, and regionals."", ""Winnie reminisces about her time on A-Troupe, B-Troupe and as a Dance Captain. She feels her journey is like B-Troupe's and she knows it is time to get serious and prove she and B-Troupe are no longer underdogs."", ""Kenzie and Richelle face off in a Fashion Challenge. Kenzie's in the front row and wants to prove she's ready to be a team leader."", ""Ms Angela hosts a dating game with the couples of A-Troupe. Watch as they compete to determine who wins the crown of Dancemania's Ultimate Showmance."", 'Tensions run high when TNS needs to create a new 10-person routine. A package for the routine arrives but is not what Michelle and Emily expect. Elliot meets with Richelle and delivers some upsetting news.', 'Auditions for the alternate position are more competitive than ever as a new group of talented dancers vie for the spot. Nick and Emily use the auditions to help determine the new Dance Captain of A-Troupe.', ""With Amy feeling down about missing her family's trip, Finn tries to cheer her up. When none of his ideas work, Finn turns to Henry for help. Meanwhile, Lily teams up with Kenzie to hide a potential scandal from Miss Angela."", ""Piper looks back at the drama she has found herself in during her time at The Next Step. She ponders what it means to be honest with her feelings, and how to share them with the people she cares about, even when it's hard."", 'The A-troupe dancers are locked in Shakes and Ladders as part of an Escape Room exercise, devised by Emily and Michelle. Frustrations quickly begin to mount when secrets are revealed about each member.', ""Richelle and Kenzie are working on new choreo for A Troupe when Nick interrupts with exciting news: Richelle's A-Troupe's new Dance Captain!"", ""Ozzy and Heath show off their moves in a Choreo Challenge. Ozzy wants to show he's more than just a one-hit wonder."", ""Her secret out to Finn, Piper keeps her distance from him. But when A-troupe's next adventure arrives, starting the next phase of their dance careers, Piper and Finn are stuck together in a group dance challenge."", ""A former A-Troupe member returns with the hopes of re-joining the studio, but her past isn't easily forgiven. Richelle and Kenzie make a startling discovery about Miss Angela's fate after Absolute Dance put her on probation."", 'A-Troupe faces stiff competition in a final performance, but are shocked when they discover a staggering revelation from a former teammate. TNS makes a decision about their performance that alters their dance careers forever.', 'Isaiah Peck (Henry) and Noah Zulfikar (Kingston) talk about realising their characters and the epic TNS East vs West rivalry.', ""It's time to bury the hatchet and Lily knows she has to take the first step with Kenzie. Meanwhile, Piper worries about Amy when she learns Amy was fired as Summer's choreographer."", ""When Noah's fate at The Next Step is put to a vote, arguments ensue over what to do."", 'Piper returns to TNS as Michelle and Emily are reinstated and face their first challenge as co-Studio Heads.']","[""['Cast Alexandra Beaton'"", ""'Victoria Baldesarra']"", ""'Trevor Tordjman'"", ""'Brittany Raymond'"", ""'Isaac Lupien'""]",2022-02-01 06:00:00,G,"[323.0, 1306.0, 1305.0, 1305.0, 1305.0, 323.0, 1306.0, 281.0, 1304.0, 1306.0, 330.0, 294.0, 1309.0, 1298.0, 1304.0, 1306.0, 310.0, 310.0, 321.0, 305.0, 1306.0, 1312.0, 323.0, 310.0, 1305.0, 1305.0, 1305.0, 325.0, 1306.0, 333.0, 1304.0, 1312.0, 310.0, 323.0, 1391.0, 310.0, 1305.0, 323.0, 1304.0, 1312.0, 1504.0, 1305.0, 1309.0, 1306.0, 328.0, 292.0, 1305.0, 314.0, 310.0, 331.0, 1305.0, 1334.0, 329.0, 291.0, 1305.0, 1305.0, 310.0, 1304.0, 310.0, 1304.0, 331.0, 330.0, 1309.0, 1305.0, 1305.0, 1304.0, 310.0, 323.0, 332.0, 310.0, 1305.0, 286.0, 1305.0, 1305.0, 1304.0, 1304.0, 323.0, 310.0, 274.0, 310.0, 310.0, 1304.0, 1305.0, 1306.0, 331.0, 1306.0, 331.0, 306.0, 1305.0, 1305.0, 1659.0, 310.0, 323.0, 1304.0, 1304.0]","['ABC ME', 'FAMILY']","['3girls', 'abc3-faves', 'family-viewing', '3tween', 'abc3', '3featured', '3family', '3dance', '3drama']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3133A010S00_61e79a61e44e1_1920.jpg
