episode_title,id,category,title,series,episode_name,description,description2,tags,image,directors_actors,tags2,publication_date,rating,duration_sec,season,episode
Secret Men's Business,6,Movies,Secret Men's Business,,Secret Men's Business,"Four former private school boys' reunite to attend the funeral of their beloved but mysterious school master. The weekend of sun, surf, women and late-night reminiscing leads to hard truths that had long been left behind. (1999)","Four former private school boys' reunite to attend the funeral of their beloved but mysterious school master. The weekend of sun, surf, women and late-night reminiscing leads to hard truths that had long been left behind.","['ABC TV', 'DRAMA', 'COMEDY', 'MOVIES']",https://cdn.iview.abc.net.au/thumbs/i/dr/DR9812H001S00_60c93ef594e32_1920.jpg,"[""['Director Ken Cameron']""]","['abc1', 'australia', 'drama', 'comedy', 'film', '1990s', 'sydney', 'beach', 'coast', 'sex', 'tragedy', 'aussie', 'gritty', 'moody', 'family-dysfunction', 'slow-burn', 'coming-of-age', 'death', 'friendship', 'a:established-parents', 'a:older-sink-dink', 'a:retirees', 'ns:be-entertained', 'feature-length']",2021-06-25 07:00:00,M,5768.0,,
California Suite,21,Movies,California Suite,,California Suite,"Neil Simon's laugh-drenched adaptation of his hit Broadway play, intertwining the misadventures of four groups of guests at the Beverly Hills Hotel. (1978)","Neil Simon's laugh-drenched adaptation of his hit Broadway play, intertwining the misadventures of four groups of guests at the Beverly Hills Hotel.","['ABC TV', 'ABC TV Plus', 'MOVIES', 'COMEDY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3014A001S00_60e39e65cb478_1920.jpg,"[""['Director Herbert Ross']""]","['abc1', 'abc2', 'film', 'comedy', 'funny', 'quirky', 'ns:be-entertained', 'a:older-sink-dink\ta:retirees\tadventure', 'friendship', 'relationships', 'usa', 'offbeat', 'award-winning', 'adaptation', 'all-star-cast', 'lgbtqi', '1970s']",2021-06-25 07:00:00,M,5899.0,,
Lucy The Human Chimp,258,Documentary,Lucy The Human Chimp,,Lucy The Human Chimp,"Chimpanzee Lucy was raised as a human in a suburban family home where she was taught to communicate. Out of an experiment filled with surprises, a beautiful friendship was born.","Chimpanzee Lucy was raised as a human in a suburban family home where she was taught to communicate. Out of an experiment filled with surprises, a beautiful friendship was born.","['ABC TV', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2928A001S00_609ccc56373f5.jpg,['[]'],"['abc1', 'docs', 'factual', 'heartfelt', 'emotional', 'animals', 'wildlife', 'wilderness', 'natural-world', 'nature', 'experiments', 'unlikely-friendship', 'compelling', 'revealing', 'inspirational', 'real-life', 'ns:be-inspired', 'north-america', 'a:established-parents', 'a:older-sink-dink', 'a:young-sink-dink', 'feature-length']",2021-05-17 22:46:04,PG,4064.0,,
Jack Irish: Dead Point,291,Drama,Jack Irish: Dead Point,,Jack Irish: Dead Point,"When a high profile judge commissions Jack Irish to locate a mysterious red book, Jack is thrown into a world of sexy club owners, drug dealers and unhinged killers. (Movie 3 of 3) (2013)","When a high profile judge commissions Jack Irish to locate a mysterious red book, Jack is thrown into a world of sexy club owners, drug dealers and unhinged killers. (Movie 3 of 3)","['ABC TV', 'DRAMA']",https://cdn.iview.abc.net.au/thumbs/i/dr/DR1225V001S0056a9690fcc67a8.39294436_1280.jpg,"[""['Cast Guy Pearce'"", ""'Marta Dusseldorp'"", ""'Aaron Pedersen'"", ""'Roy Billing'"", ""'Shane Jacobson']""]","['iview', 'drama', 'crime', 'courts', 'aussie', 'jack-irish', 'abc1', 'australia', 'crime-drama', 'melbourne', 'detective', 'murder', 'police', 'corruption', 'quirky', 'feature-length', 'a:established-parents', 'a:older-sink-dink', 'a:retirees', 'a:working-p']",2021-06-13 07:01:00,M,4997.0,,
Shed,296,Comedy,Shed,,Shed,"An enslaved girl, Mary, endures daily torture in a world with no prospects until a new station hand, Victor, walks into the shed and her life.","An enslaved girl, Mary, endures daily torture in a world with no prospects until a new station hand, Victor, walks into the shed and her life.","['ABC TV', 'ARTS & CULTURE', 'DRAMA', 'REGIONAL AUSTRALIA', 'INDIGENOUS']",https://cdn.iview.abc.net.au/thumbs/i/ip/IP1803Q001S00_5f98ea5ca4917_1280.jpg,"[""['Director Chantelle Murray']""]","['abc1', 'arts', 'australia', 'drama', 'regional', 'indigenous', 'revealing', 'people', 'culture', 'short']",2020-11-08 07:00:00,M,898.0,,
